CBCSbatch_id,arm,HIT_Cellpaiting Y/N,HIT_Antiviral AB Y/N,HIT_Phospholipidosis  Y/N,CP_Result,AntiviralAB_Result,CPE_Antiviral_Response dose 1,CPE_Antiviral_Response dose 2,CPE_Antiviral_Response dose 3,CPE_Antiviral_Response dose 4,CPE_Antiviral_Response dose 5,PL_Result,tanimoto,analog_to_CBCSbatch_id
BJ1896827,secondary_cp_hit,N,N,N,0.33,,,,,,,,,
BJ1898615,secondary_cp_hit,N,N,Y,0.33,,,,,,,,,
BJ1897290,secondary_cp_hit,N,N,N,0.33,,,,,,,,,
BJ1897277,secondary_cp_hit,N,N,N,0.33,,,,,,,,,
BJ1896998,secondary_cp_hit,N,N,N,0.32,,,,,,,,,
BJ1896360,secondary_cp_hit,N,N,N,0.32,,,,,,,,,
BJ1894629,secondary_cp_hit,N,N,N,0.32,,,,,,,,,
BJ1898752,secondary_cp_hit,N,N,N,0.32,,,,,,,,,
BJ1896288,secondary_cp_hit,N,N,N,0.32,,,,,,,,,
BJ1898369,secondary_cp_hit,N,N,N,0.32,,,,,,,,,
BJ1896157,secondary_cp_hit,N,N,N,0.32,,,,,,,,,
BJ1898842,secondary_cp_hit,N,N,N,0.32,,,,,,,,,
BJ1895001,secondary_cp_hit,N,N,Y,0.32,,,,,,,,,
BJ1895374,secondary_cp_hit,N,N,N,0.32,,,,,,,,,
BJ1898497,secondary_cp_hit,N,N,N,0.32,,,,,,,,,
BJ1896026,secondary_cp_hit,N,N,N,0.32,,,,,,,,,
BJ1896733,secondary_cp_hit,N,N,Y,0.32,,,,,,,,,
BJ1894960,secondary_cp_hit,N,N,N,0.32,,,,,,,,,
BJ1899002,secondary_cp_hit,N,N,N,0.32,,,,,,,,,
BJ1898757,secondary_cp_hit,N,N,N,0.32,,,,,,,,,
BJ1899068,secondary_cp_hit,N,N,N,0.32,,,,,,,,,
BJ1898376,secondary_cp_hit,N,N,N,0.32,,,,,,,,,
BJ1895057,secondary_cp_hit,N,N,N,0.32,,,,,,,,,
BJ1896173,secondary_cp_hit,N,N,N,0.32,,,,,,,,,
BJ1895624,secondary_cp_hit,N,N,N,0.32,,,,,,,,,
BJ1897149,secondary_cp_hit,N,N,N,0.32,,,,,,,,,
BJ1894180,secondary_cp_hit,N,N,N,0.32,,,,,,,,,
BJ1898644,secondary_cp_hit,N,N,N,0.32,,,,,,,,,
BJ1895961,secondary_cp_hit,N,N,N,0.32,,,,,,,,,
BJ1897156,secondary_cp_hit,N,N,N,0.32,,,,,,,,,
BJ1895843,secondary_cp_hit,N,N,N,0.32,,,,,,,,,
BJ1894725,secondary_cp_hit,N,N,N,0.32,,,,,,,,,
BJ1896904,secondary_cp_hit,N,N,N,0.32,,,,,,,,,
BJ1898071,secondary_cp_hit,N,N,Y,0.31,,,,,,,,,
BJ1894857,secondary_cp_hit,N,N,N,0.31,,,,,,,,,
BJ1894380,secondary_cp_hit,N,N,N,0.31,,,,,,,,,
BJ1895896,secondary_cp_hit,N,N,N,0.31,,,,,,,,,
BJ1894086,secondary_cp_hit,N,N,N,0.31,,,,,,,,,
BJ1894207,secondary_cp_hit,N,N,N,0.31,,,,,,,,,
BJ1898401,secondary_cp_hit,N,N,N,0.31,,,,,,,,,
BJ1898443,secondary_cp_hit,N,N,N,0.31,,,,,,,,,
BJ1896131,secondary_cp_hit,N,N,N,0.31,,,,,,,,,
BJ1897256,secondary_cp_hit,N,N,N,0.31,,,,,,,,,
BJ1896053,secondary_cp_hit,N,N,N,0.31,,,,,,,,,
BJ1897198,secondary_cp_hit,N,N,N,0.31,,,,,,,,,
BJ1897860,secondary_cp_hit,N,N,N,0.31,,,,,,,,,
BJ1896237,secondary_cp_hit,N,N,N,0.31,,,,,,,,,
BJ1894442,secondary_cp_hit,N,N,N,0.3,,,,,,,,,
BJ1897124,secondary_cp_hit,N,N,N,0.3,,,,,,,,,
BJ1897133,secondary_cp_hit,N,N,N,0.3,,,,,,,,,
BJ1894859,secondary_cp_hit,N,N,N,0.3,,,,,,,,,
BJ1898927,secondary_cp_hit,N,N,N,0.3,,,,,,,,,
BJ1895900,secondary_cp_hit,N,N,N,0.3,,,,,,,,,
BJ1898751,secondary_cp_hit,N,N,N,0.3,,,,,,,,,
BJ1895440,secondary_cp_hit,N,N,N,0.3,,,,,,,,,
BJ1898421,secondary_cp_hit,N,N,N,0.3,,,,,,,,,
BJ1896241,secondary_cp_hit,N,N,N,0.3,,,,,,,,,
BJ1896834,secondary_cp_hit,N,N,Y,0.3,,,,,,,,,
BJ1896175,secondary_cp_hit,N,N,N,0.3,,,,,,,,,
BJ1898980,secondary_cp_hit,N,N,N,0.3,,,,,,,,,
BJ1899001,secondary_cp_hit,N,N,N,0.3,,,,,,,,,
BJ1898755,secondary_cp_hit,N,N,N,0.29,,,,,,,,,
BJ1896226,secondary_cp_hit,N,N,Y,0.29,,,,,,,,,
BJ1897407,secondary_cp_hit,N,N,N,0.29,,,,,,,,,
BJ1896166,secondary_cp_hit,N,N,N,0.29,,,,,,,,,
BJ1898910,secondary_cp_hit,N,N,N,0.29,,,,,,,,,
BJ1895292,secondary_cp_hit,N,N,N,0.29,,,,,,,,,
BJ1896466,secondary_cp_hit,N,N,N,0.29,,,,,,,,,
BJ1898153,secondary_cp_hit,N,N,N,0.29,,,,,,,,,
BJ1897362,secondary_cp_hit,N,N,N,0.29,,,,,,,,,
BJ1894786,secondary_cp_hit,N,N,N,0.29,,,,,,,,,
BJ1898549,secondary_cp_hit,N,N,N,0.29,,,,,,,,,
BJ1894602,secondary_cp_hit,N,N,N,0.29,,,,,,,,,
BJ1898316,secondary_cp_hit,N,N,N,0.29,,,,,,,,,
BJ1896439,secondary_cp_hit,N,N,N,0.29,,,,,,,,,
BJ1898463,secondary_cp_hit,N,N,N,0.29,,,,,,,,,
BJ1895952,secondary_cp_hit,N,N,N,0.29,,,,,,,,,
BJ1894290,secondary_cp_hit,N,N,N,0.29,,,,,,,,,
BJ1897055,secondary_cp_hit,N,N,N,0.29,,,,,,,,,
BJ1898487,secondary_cp_hit,N,N,N,0.29,,,,,,,,,
BJ1894315,secondary_cp_hit,N,N,N,0.29,,,,,,,,,
BJ1895707,secondary_cp_hit,N,N,N,0.29,,,,,,,,,
BJ1896320,secondary_cp_hit,N,N,N,0.29,,,,,,,,,
BJ1896686,secondary_cp_hit,N,N,N,0.29,,,,,,,,,
BJ1898762,secondary_cp_hit,N,N,N,0.29,,,,,,,,,
BJ1897959,secondary_cp_hit,N,N,N,0.29,,,,,,,,,
BJ1899056,secondary_cp_hit,N,N,N,0.29,,,,,,,,,
BJ1894422,secondary_cp_hit,N,N,N,0.29,,,,,,,,,
BJ1896653,secondary_cp_hit,N,N,N,0.29,,,,,,,,,
BJ1894128,secondary_cp_hit,N,N,N,0.29,,,,,,,,,
BJ1895723,secondary_cp_hit,N,N,N,0.29,,,,,,,,,
BJ1895351,secondary_cp_hit,N,N,Y,0.28,,,,,,,,,
BJ1896123,secondary_cp_hit,N,N,N,0.28,,,,,,,,,
BJ1896379,secondary_cp_hit,N,N,N,0.28,,,,,,,,,
BJ1898769,secondary_cp_hit,N,N,N,0.28,,,,,,,,,
BJ1895045,secondary_cp_hit,N,N,N,0.28,,,,,,,,,
BJ1898330,secondary_cp_hit,N,N,N,0.28,,,,,,,,,
BJ1897178,secondary_cp_hit,N,N,N,0.28,,,,,,,,,
BJ1898673,secondary_cp_hit,N,N,N,0.28,,,,,,,,,
BJ1896117,secondary_cp_hit,N,N,N,0.28,,,,,,,,,
BJ1898947,secondary_cp_hit,N,N,N,0.28,,,,,,,,,
BJ1895895,secondary_cp_hit,N,N,N,0.28,,,,,,,,,
BJ1894425,secondary_cp_hit,N,N,N,0.28,,,,,,,,,
BJ1896983,secondary_cp_hit,N,N,N,0.28,,,,,,,,,
BJ1898999,secondary_cp_hit,N,N,N,0.28,,,,,,,,,
BJ1894441,secondary_cp_hit,N,N,N,0.28,,,,,,,,,
BJ1895745,secondary_cp_hit,N,N,N,0.28,,,,,,,,,
BJ1895305,secondary_cp_hit,N,N,N,0.28,,,,,,,,,
BJ1895534,secondary_cp_hit,N,N,N,0.28,,,,,,,,,
BJ1899037,secondary_cp_hit,N,N,N,0.28,,,,,,,,,
BJ1898343,secondary_cp_hit,N,N,N,0.28,,,,,,,,,
BJ1897239,secondary_cp_hit,N,N,N,0.28,,,,,,,,,
BJ1895315,secondary_cp_hit,N,N,N,0.28,,,,,,,,,
BJ1895222,secondary_cp_hit,N,N,N,0.28,,,,,,,,,
BJ1897495,secondary_cp_hit,N,N,N,0.28,,,,,,,,,
BJ1895660,secondary_cp_hit,N,N,N,0.28,,,,,,,,,
BJ1896752,secondary_cp_hit,N,N,N,0.28,,,,,,,,,
BJ1895681,secondary_cp_hit,N,N,N,0.28,,,,,,,,,
BJ1894932,secondary_cp_hit,N,N,N,0.28,,,,,,,,,
BJ1897073,secondary_cp_hit,N,N,N,0.28,,,,,,,,,
BJ1894902,secondary_cp_hit,N,N,Y,0.28,,,,,,,,,
BJ1894056,secondary_cp_hit,N,N,N,0.27,,,,,,,,,
BJ1898168,secondary_cp_hit,N,N,N,0.27,,,,,,,,,
BJ1896099,secondary_cp_hit,N,N,N,0.27,,,,,,,,,
BJ1896775,secondary_cp_hit,N,N,N,0.27,,,,,,,,,
BJ1897851,secondary_cp_hit,N,N,N,0.27,,,,,,,,,
BJ1895692,secondary_cp_hit,N,N,N,0.27,,,,,,,,,
BJ1895421,secondary_cp_hit,N,N,N,0.27,,,,,,,,,
BJ1896647,secondary_cp_hit,N,N,N,0.27,,,,,,,,,
BJ1897119,secondary_cp_hit,N,N,N,0.27,,,,,,,,,
BJ1895923,secondary_cp_hit,N,N,N,0.27,,,,,,,,,
BJ1898581,secondary_cp_hit,N,N,N,0.27,,,,,,,,,
BJ1895437,secondary_cp_hit,N,N,N,0.27,,,,,,,,,
BJ1898188,secondary_cp_hit,N,N,N,0.27,,,,,,,,,
BJ1898539,secondary_cp_hit,N,N,N,0.27,,,,,,,,,
BJ1898087,secondary_cp_hit,N,N,N,0.27,,,,,,,,,
BJ1898899,secondary_cp_hit,N,N,N,0.27,,,,,,,,,
BJ1897496,secondary_cp_hit,N,N,N,0.27,,,,,,,,,
BJ1897436,secondary_cp_hit,N,N,N,0.27,,,,,,,,,
BJ1896363,secondary_cp_hit,N,N,N,0.27,,,,,,,,,
BJ1898433,secondary_cp_hit,N,N,N,0.27,,,,,,,,,
DI1244627,analog,,,,,,,,,,,,0.7961432506887053,BJ1898077
BA1000661,analog,,,,,,,,,,,,0.9203821656050956,BJ1898077
176271273,analog,,,,,,,,,,,,0.7947368421052632,BJ1894184
176271270,analog,,,,,,,,,,,,0.810738255033557,BJ1894184
176271266,analog,,,,,,,,,,,,0.847682119205298,BJ1894184
BA1000510,analog,,,,,,,,,,,,0.8321964529331515,BJ1894509
176272399,analog,,,,,,,,,,,,0.8430609597924773,BJ1898014
BA1000223,analog,,,,,,,,,,,,0.9324324324324323,BJ1898014
XX0034184,analog,,,,,,,,,,,,0.8509615384615384,BJ1898852
BA1033486,analog,,,,,,,,,,,,0.753309265944645,BJ1894762
BA1033556,analog,,,,,,,,,,,,0.7667804323094426,BJ1894762
DI1215028,analog,,,,,,,,,,,,0.774281805745554,BJ1894762
XX0019832,analog,,,,,,,,,,,,0.7819025522041764,BJ1894762
176272347,analog,,,,,,,,,,,,0.7833827893175074,BJ1894762
DI1249259,analog,,,,,,,,,,,,0.7904884318766067,BJ1894762
BA1043444,analog,,,,,,,,,,,,0.8351920693928129,BJ1894762
BA1043612,analog,,,,,,,,,,,,0.8527851458885941,BJ1894762
BA1046766,analog,,,,,,,,,,,,0.8674388674388674,BJ1894762
BA1045451,analog,,,,,,,,,,,,0.8872282608695652,BJ1894762
BA1041286,analog,,,,,,,,,,,,0.8896952104499274,BJ1894762
XX0021226,analog,,,,,,,,,,,,0.9006896551724138,BJ1894762
176272344,analog,,,,,,,,,,,,0.9361111111111112,BJ1894762
BA1000055,analog,,,,,,,,,,,,0.9480712166172108,BJ1894762
BA1032137,analog,,,,,,,,,,,,0.759956942949408,BJ1895651
BJ1835595,analog,,,,,,,,,,,,0.759956942949408,BJ1895651
176272941,analog,,,,,,,,,,,,0.7929465301478953,BJ1895651
XX0021713,analog,,,,,,,,,,,,0.7763636363636364,BJ1894069
BA1041777,analog,,,,,,,,,,,,0.871268656716418,BJ1894069
BJ1834423,analog,,,,,,,,,,,,0.7502553626149132,BJ1894223
DI1265563,analog,,,,,,,,,,,,0.7503766951280764,BJ1894223
XX0002459,analog,,,,,,,,,,,,0.7522613065326633,BJ1894223
XX0030211,analog,,,,,,,,,,,,0.7550100200400801,BJ1894223
176272547,analog,,,,,,,,,,,,0.7564819522114896,BJ1894223
BA1047391,analog,,,,,,,,,,,,0.7575150300601202,BJ1894223
DI1214779,analog,,,,,,,,,,,,0.7635910224438903,BJ1894223
BJ1848156,analog,,,,,,,,,,,,0.7779471544715447,BJ1894223
BA1043224,analog,,,,,,,,,,,,0.783689706613625,BJ1894223
BJ1838080,analog,,,,,,,,,,,,0.7850421000495295,BJ1894223
BJ1886228,analog,,,,,,,,,,,,0.7871287128712872,BJ1894223
BJ1852303,analog,,,,,,,,,,,,0.7878250591016549,BJ1894223
BJ1838368,analog,,,,,,,,,,,,0.7894997523526498,BJ1894223
BJ1852292,analog,,,,,,,,,,,,0.7941636268890047,BJ1894223
BJ1852302,analog,,,,,,,,,,,,0.7991921523369879,BJ1894223
XX0042586,analog,,,,,,,,,,,,0.8021664766248575,BJ1894223
176271529,analog,,,,,,,,,,,,0.809548521017125,BJ1894223
176271307,analog,,,,,,,,,,,,0.8097713097713097,BJ1894223
176271559,analog,,,,,,,,,,,,0.8098958333333334,BJ1894223
BJ1835423,analog,,,,,,,,,,,,0.8103896103896104,BJ1894223
BJ1852278,analog,,,,,,,,,,,,0.8111632759520083,BJ1894223
176271318,analog,,,,,,,,,,,,0.8164754953076121,BJ1894223
176271322,analog,,,,,,,,,,,,0.8276805251641138,BJ1894223
176271338,analog,,,,,,,,,,,,0.8662790697674418,BJ1894223
BJ1852277,analog,,,,,,,,,,,,0.8743485813549507,BJ1894223
176271163,analog,,,,,,,,,,,,0.8743485813549507,BJ1894223
176272544,analog,,,,,,,,,,,,0.8749255509231686,BJ1894223
BJ1852276,analog,,,,,,,,,,,,0.9245169082125604,BJ1894223
BA1000662,analog,,,,,,,,,,,,0.9278350515463918,BJ1894223
176272282,analog,,,,,,,,,,,,0.9278350515463918,BJ1894223
BJ1852295,analog,,,,,,,,,,,,0.930741190765492,BJ1894223
BA1000300,analog,,,,,,,,,,,,0.9341463414634148,BJ1894223
AC2214785,analog,,,,,,,,,,,,0.7845528455284553,BJ1896407
BA1046785,analog,,,,,,,,,,,,0.8344017094017094,BJ1896407
BA1043301,analog,,,,,,,,,,,,0.8346153846153846,BJ1895283
BJ1848041,analog,,,,,,,,,,,,0.7648026315789473,BJ1895069
DI1223002,analog,,,,,,,,,,,,0.7730496453900709,BJ1895069
176271139,analog,,,,,,,,,,,,0.8229166666666666,BJ1895069
BJ1835778,analog,,,,,,,,,,,,0.85273492286115,BJ1895069
BJ1848013,analog,,,,,,,,,,,,0.7786561264822134,BJ1898324
176271207,analog,,,,,,,,,,,,0.7745716862037872,BJ1894256
BJ1845418,analog,,,,,,,,,,,,0.7833859095688749,BJ1894256
176271132,analog,,,,,,,,,,,,0.8174946004319654,BJ1894256
BA1031485,analog,,,,,,,,,,,,0.7723880597014925,BJ1896266
BJ1835308,analog,,,,,,,,,,,,0.7840796019900498,BJ1896266
DI1269304,analog,,,,,,,,,,,,0.7557643040136636,BJ1895367
DI1251332,analog,,,,,,,,,,,,0.7637457044673539,BJ1895367
DI1255030,analog,,,,,,,,,,,,0.7672209026128266,BJ1895367
BA1045523,analog,,,,,,,,,,,,0.7770700636942676,BJ1895367
DI1244026,analog,,,,,,,,,,,,0.7808939526730938,BJ1895367
BA1041483,analog,,,,,,,,,,,,0.8005390835579514,BJ1895367
BA1045769,analog,,,,,,,,,,,,0.802675585284281,BJ1895367
BA1043719,analog,,,,,,,,,,,,0.8056057866184448,BJ1895367
BA1043523,analog,,,,,,,,,,,,0.8119266055045872,BJ1895367
BA1043664,analog,,,,,,,,,,,,0.8234758871701547,BJ1895367
BA1043507,analog,,,,,,,,,,,,0.8234758871701547,BJ1895367
BA1043552,analog,,,,,,,,,,,,0.8972477064220183,BJ1895367
BJ1834293,analog,,,,,,,,,,,,0.7638036809815951,BJ1898579
BJ1886397,analog,,,,,,,,,,,,0.7622801697998787,BJ1898164
AC2215162,analog,,,,,,,,,,,,0.7666666666666667,BJ1898164
XX0062346,analog,,,,,,,,,,,,0.7813738441215323,BJ1898164
BJ1834197,analog,,,,,,,,,,,,0.7861386138613862,BJ1898164
176272415,analog,,,,,,,,,,,,0.8008595988538681,BJ1898131
DI1223382,analog,,,,,,,,,,,,0.8042553191489362,BJ1898131
BA1044364,analog,,,,,,,,,,,,0.8968133535660091,BJ1898131
BJ1886332,analog,,,,,,,,,,,,0.7589348283111422,BJ1898589
BJ1852408,analog,,,,,,,,,,,,0.7510121457489879,BJ1899227
176272472,analog,,,,,,,,,,,,0.7586558044806517,BJ1899227
DI1227924,analog,,,,,,,,,,,,0.7774193548387097,BJ1899227
DI1242486,analog,,,,,,,,,,,,0.7923169267707083,BJ1899227
DI1242880,analog,,,,,,,,,,,,0.8149386845039019,BJ1899227
AC2244381,analog,,,,,,,,,,,,0.8417350527549824,BJ1899227
DI1247169,analog,,,,,,,,,,,,0.857981220657277,BJ1899227
DI1249756,analog,,,,,,,,,,,,0.75,BJ1894492
BA1043298,analog,,,,,,,,,,,,0.81640625,BJ1894492
BA1041666,analog,,,,,,,,,,,,0.8293650793650794,BJ1894492
176271551,analog,,,,,,,,,,,,0.7988736926790024,BJ1895743
BA1034384,analog,,,,,,,,,,,,0.8901408450704226,BJ1895621
BA1043366,analog,,,,,,,,,,,,0.7809694793536804,BJ1896314
BA1043398,analog,,,,,,,,,,,,0.7864583333333334,BJ1896314
BA1043226,analog,,,,,,,,,,,,0.7905759162303665,BJ1896314
BA1043349,analog,,,,,,,,,,,,0.814748201438849,BJ1896314
BA1048040,analog,,,,,,,,,,,,0.822141560798548,BJ1896314
XX0036774,analog,,,,,,,,,,,,0.822141560798548,BJ1896314
DI1253612,analog,,,,,,,,,,,,0.8281535648994516,BJ1896314
BA1043352,analog,,,,,,,,,,,,0.8373382624768947,BJ1896314
BA1041753,analog,,,,,,,,,,,,0.8404452690166976,BJ1896314
BA1043289,analog,,,,,,,,,,,,0.8467289719626169,BJ1896314
BA1032160,analog,,,,,,,,,,,,0.8515037593984962,BJ1896314
176248067,analog,,,,,,,,,,,,0.7684407096171803,BJ1895977
BA1033464,analog,,,,,,,,,,,,0.8207739307535642,BJ1895977
DI1215217,analog,,,,,,,,,,,,0.8598949211908932,BJ1895977
BA1045874,analog,,,,,,,,,,,,0.7965116279069767,BJ1894182
BA1001199,analog,,,,,,,,,,,,0.76,BJ1897577
176272805,analog,,,,,,,,,,,,0.8418640183346066,BJ1895213
176271062,analog,,,,,,,,,,,,0.7966101694915254,BJ1894043
176271061,analog,,,,,,,,,,,,0.8668032786885246,BJ1894043
XX0002510,analog,,,,,,,,,,,,0.7937743190661478,BJ1896405
BA1041811,analog,,,,,,,,,,,,0.796692607003891,BJ1896405
DI1251367,analog,,,,,,,,,,,,0.8066604995374653,BJ1896405
DI1252050,analog,,,,,,,,,,,,0.857847976307996,BJ1896405
DI1235174,analog,,,,,,,,,,,,0.872255489021956,BJ1896405
176272823,analog,,,,,,,,,,,,0.934351145038168,BJ1895019
XX0017358,analog,,,,,,,,,,,,0.8378048780487805,BJ1894365
DI1247284,analog,,,,,,,,,,,,0.8216482164821648,BJ1897531
XX0041473,analog,,,,,,,,,,,,0.8138138138138138,BJ1894766
BA1042277,analog,,,,,,,,,,,,0.8228043143297381,BJ1894766
BA1041410,analog,,,,,,,,,,,,0.8419354838709677,BJ1894766
BJ1872609,analog,,,,,,,,,,,,0.837979094076655,BJ1895962
BA1043813,analog,,,,,,,,,,,,0.8156498673740054,BJ1895143
XX0014997,analog,,,,,,,,,,,,0.8033898305084746,BJ1894548
XX0018894,analog,,,,,,,,,,,,0.750627195183141,BJ1897129
BA1037794,analog,,,,,,,,,,,,0.7515,BJ1897129
BA1000577,analog,,,,,,,,,,,,0.7523809523809524,BJ1897129
DI1248497,analog,,,,,,,,,,,,0.7533632286995515,BJ1897129
XX0018659,analog,,,,,,,,,,,,0.7539761431411531,BJ1897129
176272428,analog,,,,,,,,,,,,0.7586206896551724,BJ1897129
XX0018652,analog,,,,,,,,,,,,0.7607940446650124,BJ1897129
BJ1838070,analog,,,,,,,,,,,,0.7622133599202393,BJ1897129
XX0017282,analog,,,,,,,,,,,,0.7625935162094764,BJ1897129
XX0045067,analog,,,,,,,,,,,,0.7690782953419227,BJ1897129
BA1038220,analog,,,,,,,,,,,,0.775236200895077,BJ1897129
BJ1850020,analog,,,,,,,,,,,,0.7704426106526632,BJ1899137
XX0018965,analog,,,,,,,,,,,,0.8093622795115333,BJ1899137
XX0018847,analog,,,,,,,,,,,,0.8142076502732241,BJ1899137
XX0018402,analog,,,,,,,,,,,,0.8416779431664412,BJ1899137
DI1216714,analog,,,,,,,,,,,,0.7818853974121996,BJ1894095
176271125,analog,,,,,,,,,,,,0.8983050847457628,BJ1894055
XX0017004,analog,,,,,,,,,,,,0.7685290763968073,BJ1895134
BA1031487,analog,,,,,,,,,,,,0.8333333333333334,BJ1895134
BA1032175,analog,,,,,,,,,,,,0.8352803738317757,BJ1895134
DI1215031,analog,,,,,,,,,,,,0.9237726098191216,BJ1895134
176272518,analog,,,,,,,,,,,,0.9383202099737532,BJ1895134
DI1231693,analog,,,,,,,,,,,,0.8504435994930292,BJ1897437
AC2245150,analog,,,,,,,,,,,,0.750390015600624,BJ1897640
XX0044888,analog,,,,,,,,,,,,0.7572663000785546,BJ1897640
XX0018966,analog,,,,,,,,,,,,0.7635893011216566,BJ1897640
XX0017006,analog,,,,,,,,,,,,0.7640984908657665,BJ1897640
AC2244949,analog,,,,,,,,,,,,0.7659574468085106,BJ1897640
AC2244673,analog,,,,,,,,,,,,0.7688564476885644,BJ1897640
AC2244349,analog,,,,,,,,,,,,0.7704654895666132,BJ1897640
AC4704351,analog,,,,,,,,,,,,0.771382893685052,BJ1897640
AC2244415,analog,,,,,,,,,,,,0.7721417069243156,BJ1897640
XX0018278,analog,,,,,,,,,,,,0.7745571658615137,BJ1897640
DI1220585,analog,,,,,,,,,,,,0.7761194029850746,BJ1897640
DI1224391,analog,,,,,,,,,,,,0.7775974025974026,BJ1897640
XX0017003,analog,,,,,,,,,,,,0.778675282714055,BJ1897640
AC2245344,analog,,,,,,,,,,,,0.7790322580645161,BJ1897640
XX0017005,analog,,,,,,,,,,,,0.7806873977086743,BJ1897640
XX0019414,analog,,,,,,,,,,,,0.7815810920945395,BJ1897640
AC2244411,analog,,,,,,,,,,,,0.7818930041152263,BJ1897640
AC2244364,analog,,,,,,,,,,,,0.783003300330033,BJ1897640
AC2244399,analog,,,,,,,,,,,,0.7837171052631579,BJ1897640
AC2244400,analog,,,,,,,,,,,,0.7843775427176566,BJ1897640
XX0018204,analog,,,,,,,,,,,,0.7867768595041322,BJ1897640
XX0018002,analog,,,,,,,,,,,,0.7898671096345515,BJ1897640
XX0018967,analog,,,,,,,,,,,,0.7909090909090909,BJ1897640
AC2244383,analog,,,,,,,,,,,,0.7909698996655519,BJ1897640
AC2244382,analog,,,,,,,,,,,,0.7921207041072925,BJ1897640
BA1031910,analog,,,,,,,,,,,,0.7924217462932455,BJ1897640
AC2244388,analog,,,,,,,,,,,,0.7933333333333333,BJ1897640
AC2244357,analog,,,,,,,,,,,,0.7934508816120907,BJ1897640
AC2244356,analog,,,,,,,,,,,,0.7944630872483222,BJ1897640
AC2244410,analog,,,,,,,,,,,,0.7945091514143094,BJ1897640
AC2244403,analog,,,,,,,,,,,,0.7963118189438391,BJ1897640
AC2244408,analog,,,,,,,,,,,,0.803265306122449,BJ1897640
BJ1802273,analog,,,,,,,,,,,,0.7558247903075489,BJ1896133
XX0028161,analog,,,,,,,,,,,,0.7572614107883817,BJ1896133
XX0017318,analog,,,,,,,,,,,,0.7719821162444114,BJ1894657
XX0029081,analog,,,,,,,,,,,,0.8037518037518038,BJ1894657
176271073,analog,,,,,,,,,,,,0.8401486988847584,BJ1894101
176272311,analog,,,,,,,,,,,,0.7743813682678311,BJ1896858
DD4386006,antiviral_control,,,,,,,,,,,,,
DI1202001,antiviral_control,,,,,,,,,,,,,
DO8167002,antiviral_control,,,,,,,,,,,,,
[flup],cp_control,,,,,,,,,,,,,
[etop],cp_control,,,,,,,,,,,,,
[fenb],cp_control,,,,,,,,,,,,,
[stau],cp_control,,,,,,,,,,,,,
DMSO,solvent_control,,,,,,,,,,,,,
